ID,Banca,Corporacao,Materia,Tema,Enunciado,A,B,C,D,E,Gabarito,Explicacao
411,FGV,GCM-SP,Noções de Criminologia,Criminologia e segurança pública,"Quanto a Criminologia e segurança pública, na perspectiva da prevenção, é correto afirmar:",Criminologia e segurança pública desconsidera a vítima no processo.,"Criminologia e segurança pública foca apenas na punição, não na prevenção.",Criminologia e segurança pública é teoria que nega influência do meio.,"Criminologia e segurança pública explica crime como fenômeno social, não apenas individual.",Criminologia e segurança pública defende pena de morte como prevenção.,C,Gabarito C. Criminologia e segurança pública em Noções de Criminologia: conforme banca FGV para GCM-SP. Conforme manual e legislação específica.
412,FGV,GCM-SP,Noções de Criminologia,Prevenção do crime,"Em Prevenção do crime, conforme teoria do etiquetamento, assinale a correta:",Prevenção do crime é teoria que nega influência do meio.,"Prevenção do crime explica crime como fenômeno social, não apenas individual.",Prevenção do crime defende pena de morte como prevenção.,Prevenção do crime desconsidera a vítima no processo.,"Prevenção do crime foca apenas na punição, não na prevenção.",B,Gabarito B. Prevenção do crime em Noções de Criminologia: conforme banca FGV para GCM-SP. Padrão cobrado em provas de áreas policiais SP.
413,VUNESP,PM-SP,Noções de Criminologia,Prevenção do crime,"Sobre Prevenção do crime, segundo a criminologia moderna para PM-SP, é correto:","Prevenção do crime explica crime como fenômeno social, não apenas individual.","Prevenção do crime foca apenas na punição, não na prevenção.",Prevenção do crime defende pena de morte como prevenção.,Prevenção do crime desconsidera a vítima no processo.,Prevenção do crime é teoria que nega influência do meio.,C,Gabarito C. Prevenção do crime em Noções de Criminologia: conforme banca VUNESP para PM-SP. Padrão cobrado em provas de áreas policiais SP.
414,FGV,PC-SP,Noções de Criminologia,Etiquetamento,"Quanto a Etiquetamento, na perspectiva da prevenção, é correto afirmar:",Etiquetamento defende pena de morte como prevenção.,Etiquetamento desconsidera a vítima no processo.,"Etiquetamento explica crime como fenômeno social, não apenas individual.","Etiquetamento foca apenas na punição, não na prevenção.",Etiquetamento é teoria que nega influência do meio.,B,Gabarito B. Etiquetamento em Noções de Criminologia: conforme banca FGV para PC-SP. Doutrina majoritária e jurisprudência atual.
415,FGV,PM-SP,Noções de Criminologia,Escolas criminológicas,"Quanto a Escolas criminológicas, na perspectiva da prevenção, é correto afirmar:","Escolas criminológicas foca apenas na punição, não na prevenção.",Escolas criminológicas defende pena de morte como prevenção.,Escolas criminológicas é teoria que nega influência do meio.,Escolas criminológicas desconsidera a vítima no processo.,"Escolas criminológicas explica crime como fenômeno social, não apenas individual.",C,Gabarito C. Escolas criminológicas em Noções de Criminologia: conforme banca FGV para PM-SP. Doutrina majoritária e jurisprudência atual.
416,VUNESP,PM-SP,Noções de Criminologia,Etiquetamento,"Sobre Etiquetamento, na criminologia aplicada à segurança pública, assinale:","Etiquetamento foca apenas na punição, não na prevenção.",Etiquetamento é teoria que nega influência do meio.,Etiquetamento defende pena de morte como prevenção.,Etiquetamento desconsidera a vítima no processo.,"Etiquetamento explica crime como fenômeno social, não apenas individual.",B,Gabarito B. Etiquetamento em Noções de Criminologia: conforme banca VUNESP para PM-SP. Entendimento pacificado nos tribunais superiores.
417,FGV,PC-SP,Noções de Criminologia,Vitimologia,"Sobre Vitimologia, na criminologia aplicada à segurança pública, assinale:",Vitimologia desconsidera a vítima no processo.,"Vitimologia foca apenas na punição, não na prevenção.",Vitimologia é teoria que nega influência do meio.,"Vitimologia explica crime como fenômeno social, não apenas individual.",Vitimologia defende pena de morte como prevenção.,C,Gabarito C. Vitimologia em Noções de Criminologia: conforme banca FGV para PC-SP. Padrão cobrado em provas de áreas policiais SP.
418,VUNESP,PC-SP,Noções de Criminologia,Escolas criminológicas,"Quanto a Escolas criminológicas, na perspectiva da prevenção, é correto afirmar:",Escolas criminológicas defende pena de morte como prevenção.,Escolas criminológicas desconsidera a vítima no processo.,"Escolas criminológicas foca apenas na punição, não na prevenção.","Escolas criminológicas explica crime como fenômeno social, não apenas individual.",Escolas criminológicas é teoria que nega influência do meio.,A,Gabarito A. Escolas criminológicas em Noções de Criminologia: conforme banca VUNESP para PC-SP. Entendimento pacificado nos tribunais superiores.
419,FGV,GCM-SP,Noções de Criminologia,Teorias criminológicas,"Sobre Teorias criminológicas, na criminologia aplicada à segurança pública, assinale:",Teorias criminológicas desconsidera a vítima no processo.,Teorias criminológicas defende pena de morte como prevenção.,"Teorias criminológicas foca apenas na punição, não na prevenção.","Teorias criminológicas explica crime como fenômeno social, não apenas individual.",Teorias criminológicas é teoria que nega influência do meio.,B,Gabarito B. Teorias criminológicas em Noções de Criminologia: conforme banca FGV para GCM-SP. Doutrina majoritária e jurisprudência atual.
420,VUNESP,GCM-SP,Noções de Criminologia,Teorias criminológicas,"Sobre Teorias criminológicas, segundo a criminologia moderna para GCM-SP, é correto:",Teorias criminológicas é teoria que nega influência do meio.,Teorias criminológicas defende pena de morte como prevenção.,Teorias criminológicas desconsidera a vítima no processo.,"Teorias criminológicas foca apenas na punição, não na prevenção.","Teorias criminológicas explica crime como fenômeno social, não apenas individual.",C,Gabarito C. Teorias criminológicas em Noções de Criminologia: conforme banca VUNESP para GCM-SP. Doutrina majoritária e jurisprudência atual.
421,FGV,GCM-SP,Noções de Criminologia,Prevenção do crime,"Sobre Prevenção do crime, segundo a criminologia moderna para GCM-SP, é correto:",Prevenção do crime é teoria que nega influência do meio.,Prevenção do crime desconsidera a vítima no processo.,Prevenção do crime defende pena de morte como prevenção.,"Prevenção do crime explica crime como fenômeno social, não apenas individual.","Prevenção do crime foca apenas na punição, não na prevenção.",B,Gabarito B. Prevenção do crime em Noções de Criminologia: conforme banca FGV para GCM-SP. Doutrina majoritária e jurisprudência atual.
422,VUNESP,PC-SP,Noções de Criminologia,Teorias criminológicas,"Quanto a Teorias criminológicas, na perspectiva da prevenção, é correto afirmar:","Teorias criminológicas foca apenas na punição, não na prevenção.",Teorias criminológicas é teoria que nega influência do meio.,Teorias criminológicas desconsidera a vítima no processo.,"Teorias criminológicas explica crime como fenômeno social, não apenas individual.",Teorias criminológicas defende pena de morte como prevenção.,B,Gabarito B. Teorias criminológicas em Noções de Criminologia: conforme banca VUNESP para PC-SP. Conforme manual e legislação específica.
423,FGV,GCM-SP,Noções de Criminologia,Criminologia e segurança pública,"Sobre Criminologia e segurança pública, na criminologia aplicada à segurança pública, assinale:",Criminologia e segurança pública defende pena de morte como prevenção.,"Criminologia e segurança pública foca apenas na punição, não na prevenção.","Criminologia e segurança pública explica crime como fenômeno social, não apenas individual.",Criminologia e segurança pública desconsidera a vítima no processo.,Criminologia e segurança pública é teoria que nega influência do meio.,B,Gabarito B. Criminologia e segurança pública em Noções de Criminologia: conforme banca FGV para GCM-SP. Doutrina majoritária e jurisprudência atual.
424,VUNESP,GCM-SP,Noções de Criminologia,Escolas criminológicas,"Sobre Escolas criminológicas, segundo a criminologia moderna para GCM-SP, é correto:","Escolas criminológicas foca apenas na punição, não na prevenção.",Escolas criminológicas defende pena de morte como prevenção.,Escolas criminológicas é teoria que nega influência do meio.,Escolas criminológicas desconsidera a vítima no processo.,"Escolas criminológicas explica crime como fenômeno social, não apenas individual.",B,Gabarito B. Escolas criminológicas em Noções de Criminologia: conforme banca VUNESP para GCM-SP. Entendimento pacificado nos tribunais superiores.
425,VUNESP,PM-SP,Noções de Criminologia,Etiquetamento,"Sobre Etiquetamento, na criminologia aplicada à segurança pública, assinale:","Etiquetamento foca apenas na punição, não na prevenção.","Etiquetamento explica crime como fenômeno social, não apenas individual.",Etiquetamento desconsidera a vítima no processo.,Etiquetamento defende pena de morte como prevenção.,Etiquetamento é teoria que nega influência do meio.,C,Gabarito C. Etiquetamento em Noções de Criminologia: conforme banca VUNESP para PM-SP. Padrão cobrado em provas de áreas policiais SP.
426,VUNESP,PC-SP,Noções de Criminologia,Etiquetamento,"Sobre Etiquetamento, na criminologia aplicada à segurança pública, assinale:","Etiquetamento foca apenas na punição, não na prevenção.","Etiquetamento explica crime como fenômeno social, não apenas individual.",Etiquetamento é teoria que nega influência do meio.,Etiquetamento desconsidera a vítima no processo.,Etiquetamento defende pena de morte como prevenção.,B,Gabarito B. Etiquetamento em Noções de Criminologia: conforme banca VUNESP para PC-SP. Entendimento pacificado nos tribunais superiores.
427,VUNESP,PC-SP,Noções de Criminologia,Teorias criminológicas,"Sobre Teorias criminológicas, segundo a criminologia moderna para PC-SP, é correto:","Teorias criminológicas foca apenas na punição, não na prevenção.",Teorias criminológicas defende pena de morte como prevenção.,Teorias criminológicas desconsidera a vítima no processo.,Teorias criminológicas é teoria que nega influência do meio.,"Teorias criminológicas explica crime como fenômeno social, não apenas individual.",B,Gabarito B. Teorias criminológicas em Noções de Criminologia: conforme banca VUNESP para PC-SP. Padrão cobrado em provas de áreas policiais SP.
